place_name,latitude,longitude,rating,review_text
"IDK cafe PH",7.0507278,125.5724822,5,"Ever since Eight was introduced to me, I got hooked to the unique taste of the coffee they offer. I’ve been enjoying coffee for quite some time now, and Eight really has a distinct taste to each flavor they offer. When I think of Eight, the first thing that comes to mind is unique taste and great customer service."
"IDK cafe PH",7.0507278,125.5724822,5,"Planning to gatekeep this cafe, but they honestly deserve to be known! This hidden gem is just a few blocks away from our house and has been our go-to coffee spot ever since we discovered it. The vibe is cozy, the service is great, and the drinks? NEXT LEVEL! My personal favorite is the Eights Kopi – super creamy, and you can really taste the quality of the beans. Very satisfied with the taste – lami jud sya! Definitely worth every peso. Highly recommend if you're in the area and looking for a solid cup of coffee that hits the spot every time."
"IDK cafe PH",7.0507278,125.5724822,5,"Ever since this coffee spot moved into our neighborhood, we’ve been buying our daily coffee here na. Great (and definitely cheaper) alternative to mainstream coffee. Must try ang kanilang Eights Kopi! ❤️"
"IDK cafe PH",7.0507278,125.5724822,5,"One of my recommended coffees in Davao. Eight Coffee delightful."
"IDK cafe PH",7.0507278,125.5724822,5,"Eights Kopi, Milo Dinosaur, Milky Matcha and Nom Yen are my personal fave 😋 I must say all the drinks in their menu are a must try! The barista/owner is friendly, accommodating, and cute too ☺️🥰 Definitely a go to shop for your daily caffeine dose! …"
"IDK cafe PH",7.0507278,125.5724822,5,"my favorite neighborhood coffee! love love drinking their coffee!! best for all nighters 🤍"
"IDK cafe PH",7.0507278,125.5724822,5,"Very yummy coffee the best in the whole wide world .. a must try!! 😋😋😋"
"IDK cafe PH",7.0507278,125.5724822,5,"The cookie butter taste really good. HIGHLY RECOMMENDED 🤍 …"
"IDK cafe PH",7.0507278,125.5724822,5,"The best coffee in Davao!"
"IDK cafe PH",7.0507278,125.5724822,5,"the best coffee in the city!"
"IDK cafe PH",7.0507278,125.5724822,3,"Okay"
"IDK cafe PH",7.0507278,125.5724822,5,""
"IDK cafe PH",7.0507278,125.5724822,5,""
